Date : 2023-10-19 11:07:50
Directory : /Users/imogen/Desktop/herdtools7
Total : 1604 files,  150632 codes, 24957 comments, 24104 blanks, all 199693 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/imogen/Desktop/herdtools7/catalogue/demo/shelf.py                                       | Python          |         58 |          0 |         14 |         72 |
| /Users/imogen/Desktop/herdtools7/catalogue/herding-cats/cfgs/web.cfg                           | Properties      |         15 |          0 |          1 |         16 |
| /Users/imogen/Desktop/herdtools7/catalogue/herding-cats/shelf.py                               | Python          |         42 |          0 |          9 |         51 |
| /Users/imogen/Desktop/herdtools7/catalogue/linux/cfgs/linux-kernel.cfg                         | Properties      |         23 |          0 |          1 |         24 |
| /Users/imogen/Desktop/herdtools7/catalogue/linux/shelf.py                                      | Python          |         10 |          0 |          4 |         14 |
| /Users/imogen/Desktop/herdtools7/catalogue/tutorial/cfgs/tutorial.cfg                          | Properties      |         15 |          0 |          1 |         16 |
| /Users/imogen/Desktop/herdtools7/catalogue/tutorial/shelf.py                                   | Python          |        154 |          0 |         15 |        169 |
| /Users/imogen/Desktop/herdtools7/catalogue/x86/cfgs/new-web.cfg                                | Properties      |         14 |          0 |          1 |         15 |
| /Users/imogen/Desktop/herdtools7/catalogue/x86/shelf.py                                        | Python          |         33 |          0 |          4 |         37 |
| /Users/imogen/Desktop/herdtools7/defs.sh                                                       | Shell Script    |          3 |          0 |          2 |          5 |
| /Users/imogen/Desktop/herdtools7/doc/ARM-LB.log                                                | Log             |        624 |          0 |         61 |        685 |
| /Users/imogen/Desktop/herdtools7/doc/Makefile                                                  | Makefile        |        402 |         16 |        162 |        580 |
| /Users/imogen/Desktop/herdtools7/doc/PPC.tex                                                   | LaTeX           |         36 |          0 |          1 |         37 |
| /Users/imogen/Desktop/herdtools7/doc/SB-PPC.log                                                | Log             |         60 |          0 |          5 |         65 |
| /Users/imogen/Desktop/herdtools7/doc/SB-PPC2.log                                               | Log             |         96 |          0 |          9 |        105 |
| /Users/imogen/Desktop/herdtools7/doc/SB.log                                                    | Log             |        439 |          0 |         23 |        462 |
| /Users/imogen/Desktop/herdtools7/doc/X.conf                                                    | Properties      |          6 |          0 |          1 |          7 |
| /Users/imogen/Desktop/herdtools7/doc/X86-E.tex                                                 | LaTeX           |         20 |          0 |          1 |         21 |
| /Users/imogen/Desktop/herdtools7/doc/X86-SR.tex                                                | LaTeX           |         20 |          0 |          1 |         21 |
| /Users/imogen/Desktop/herdtools7/doc/X86.tex                                                   | LaTeX           |         20 |          0 |          1 |         21 |
| /Users/imogen/Desktop/herdtools7/doc/classic.conf                                              | Properties      |          6 |          1 |          1 |          8 |
